File Date,Trade Date,Form,Insider,Ticker,Security Title,Code,10b5-1,Direct,Exercise Price,Unit Price,Units Changed,Value Changed (1K),Remaining Options,Remaining Shares
2021-08-05,2021-08-04,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,Common Stock,S - Sale,,I,nan,2.1500,"-44,631",-96,nan,"6,168,876"
2021-08-05,2021-08-03,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value (""Common Stock"")",S - Sale,,I,nan,2.1000,"-16,174",-34,nan,"6,213,507"
2021-08-03,2021-08-02,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,Common Stock,S - Sale,,I,nan,2.1500,"-130,688",-281,nan,"6,229,681"
2021-08-03,2021-07-30,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value (""Common Stock"")",S - Sale,,I,nan,2.3200,"-73,640",-171,nan,"6,360,369"
2021-07-15,2021-07-14,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,Common Stock,S - Sale,,I,nan,2.7400,"-29,413",-81,nan,"6,434,009"
2021-07-15,2021-07-13,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value (""Common Stock"")",S - Sale,,I,nan,2.7700,"-76,787",-213,nan,"6,463,422"
2021-07-13,2021-07-12,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,Common Stock,S - Sale,,I,nan,2.8200,"-8,790",-25,nan,"6,540,209"
2021-07-13,2021-07-09,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value (""Common Stock"")",S - Sale,,I,nan,2.8900,"-34,910",-101,nan,"6,548,999"
2021-07-08,2021-07-06,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value",S - Sale,,I,nan,2.9500,-52,-0,nan,"6,583,909"
2021-06-30,2021-06-28,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,"Class A Common Stock, $0.0001 par value",S - Sale,,I,nan,3.1400,"-11,015",-35,nan,"6,583,961"
2021-06-28,2021-06-25,4,HIGHBRIDGE CAPITAL MANAGEMENT LLC,HYMC,Common Stock,S - Sale,,I,nan,3.1700,"-51,829",-164,nan,"6,594,976"
